cat2_slug,cat3_slug,city_slug,neighborhood_slug,created_at_month,user_type,description,title,rent_mode,rent_value,rent_to_single,rent_type,price_mode,price_value,credit_mode,credit_value,rent_credit_transform,transformable_price,transformable_credit,transformed_credit,transformable_rent,transformed_rent,land_size,building_size,deed_type,has_business_deed,floor,rooms_count,total_floors_count,unit_per_floor,has_balcony,has_elevator,has_warehouse,has_parking,construction_year,is_rebuilt,has_water,has_warm_water_provider,has_electricity,has_gas,has_heating_system,has_cooling_system,has_restroom,has_security_guard,has_barbecue,building_direction,has_pool,has_jacuzzi,has_sauna,floor_material,property_type,regular_person_capacity,extra_person_capacity,cost_per_extra_person,rent_price_on_regular_days,rent_price_on_special_days,rent_price_at_weekends,location_latitude,location_longitude,location_radius
residential-sell,house-villa-sell,azna,,11/1/2024 0:00,,"ویلایی چهار خواب
حیاط پایین و حیاط بالا
شیرآلات کامل
پکیج کامل 
شمالی 
بهترین منطقه
فقط مشتری واقعی تماس بگیرد
پیام پاسخگو نیستم
فقط مشتری واقعی تماس بگیرد",ویلای خوش نقشه,,,,,مجانی,0,,,,,,,,,216,210,,,,چهار,,,TRUE,,TRUE,TRUE,۱۴۰۳,FALSE,,,,,,,,,,,,,,,,,,,,,,33.45409393,49.46598053,
residential-rent,apartment-rent,andisheh-new-town,,8/1/2024 0:00,مشاور املاک,"واحددرمجتمع فوق العاده شیک درفاز۵
امکانات فول
روب نما
نورعالی
برای اطلاعات بیشتروفایلهای مشابه تماس بگیرید",آپارتمان۱۲۳متری درفاز۵اندیشه,مقطوع,100000,,rent_credit,,,مقطوع,900000000,TRUE,TRUE,900000000,200000000,100000,21000000,,123,,,5,سه,,,TRUE,TRUE,TRUE,TRUE,۱۴۰۲,,,package,,,shoofaj,water_cooler,squat_seat,,,,,,,ceramic,,,,,,,,35.70003128,50.99645233,500
residential-sell,plot-old,mashhad,daneshjoo,8/1/2024 0:00,,"زمین واقع در کلاته گیزی 
پنج کیلو متر بعد از ابراهیم اباد جاده اسفالت 
از لب جاده ۱۰۰۰ متر فاصله زمین 
زمین کاملا مسطح و صاف شده 
راه کشی شده قطعه مشخص 
اماده قطعه بندی 
چهارمیخ 
تمامی نامه ها تاییدیه ها سورا و دهیاری تقسیم نامه ها قولنامه ها موجود و مرتب 
زمین مزروعی 
معاوضه با اپارتمان الهیه امامیه و…",زمین کلاته گیزی ابراهیم اباد کاهو امام رضا ۱۷,,,,,مقطوع,4500000000,,,,,,,,,,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential-rent,apartment-rent,karaj,gohardasht,8/1/2024 0:00,,"۱۵۵ متر ۳ خواب ۱ خواب مستر

آشپزخانه:مدرن,هود و گاز can ایتالیا

پوشش کف:سرامیک

امکانات:لابی،روف گاردن،۲ تراس کاربردی

جهت ملک:واحد رو به نما

تبدیل میشود

برای اطلاعات بیشتر تماس بگیرید",۱۵۵ متر نوساز فول امکانات,مقطوع,100000,,,,,مقطوع,1000000000,FALSE,FALSE,1000000000,,100000,,,155,,,3,سه,,,,TRUE,TRUE,TRUE,۱۴۰۲,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
residential-sell,house-villa-sell,chamestan,,12/1/2024 0:00,,"کد ویلا :  37


✅️ ویلاباغ مشجر 
✅️ پر از دار و درخت 
✅️ ۶۰۰ متر زمین
✅️ ۱۴۰ متر زمین
✅️ ۲ خواب مستر
✅️ سند شش دانگ 
✅️ ۳ کنتور اختصاصی
✅️ شهرک قدیمی با نگهبانی


قیمت  : نقدو اقساط 
+ اقساط بلند مدت(معاوضه با خودرو هم دارد)

اسکان رایگان",ویلا باغ۶۰۰م سنددار شهرکی ٪زیر قیمت٪مشجر جاده دریا,,,,,مقطوع,1800000000,,,,,,,,,600,140,,,,دو,,,TRUE,,TRUE,TRUE,۱۴۰۳,FALSE,FALSE,,FALSE,FALSE,,,,FALSE,FALSE,north,FALSE,FALSE,FALSE,,jungle,,,,,,,36.38769531,52.1017189,500
residential-sell,apartment-sell,tehran,kamraniyeh,11/1/2024 0:00,,"سازه‌ایی‌بااصالت‌همجوارسفارت
دربهترین‌فرعی‌برترشمرون

۴۰۰متر۴خواب‌رویال‌مستر‌تماماویو

باپلان‌ژورنالی‌وبی‌نقص‌بهمراه‌ویوی‌آکواریومی

۳۰مترتراس‌گاردن‌‌دیزاین‌شده

بدون‌مشرف

دوتراس‌گاردن‌قابل‌چیدمان‌باویوو
متریال‌تماما‌وارداتی‌‌وبرند
آشپزخانه‌بزرگ‌وفول‌فرنیش‌miele+مطبخ
ارتفاع‌سقف۳/۸۰بانورگیرعالی

شامل۴پارکینگ‌سندی

مشاعات‌‌بسیارخاص‌وvip

توضیحات‌بیشترومعرفی‌فایلهای‌دیگر
مشاورمحبی‌درخدمت‌شماهستم.",کامرانیه‌شمالی‌ویوابدی۴۰۰متر۳جهت‌نور,,,,,مقطوع,1.33E+11,,,,,,,,,,400,,,5,چهار,,,,TRUE,TRUE,TRUE,۱۴۰۲,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
residential-sell,house-villa-sell,babol,,9/1/2024 0:00,,دوطبقه هر طبقه صدمتر سند جدا حیاط دار دوتا ماشین پشت هم تو حیاط جا میشه مکان عالی میشه به صورت دوبلکس هم در آورد,فروش خانه دو طبقه کمربندی غربی توحید,,,,,مقطوع,4500000000,,,,,,,,,161,200,,,,چهار,,,TRUE,,FALSE,TRUE,۱۳۸۸,FALSE,FALSE,water_heater,FALSE,FALSE,heater,,squat_seat,FALSE,FALSE,,FALSE,FALSE,FALSE,ceramic,,,,,,,,36.56612015,52.67023087,
residential-rent,house-villa-rent,tehran,shemiran-no,8/1/2024 0:00,,"سوییت 48متر یک خوابه سرویس کامل شمالی نورگیر عالی برق جداگانه گاز و آب مشاع
تا ۳نفر",سوییت 48متر یک خوابه,مقطوع,7000000,,,,,مقطوع,110000000,FALSE,FALSE,110000000,,7000000,,60,48,,,,یک,,,FALSE,,TRUE,FALSE,قبل از ۱۳۷۰,FALSE,,water_heater,,,heater,water_cooler,squat,,,north,,,,carpet,,,,,,,,,,
commercial-sell,shop-sell,kermanshah,,11/1/2024 0:00,,"پیش‌فروش ۱۲۰ متر مغازه تجاری بر خیابان فشار قوی شهرک دانش (روبروی مسکن مهر دانش)
۱۳ متر بر ، جنوبی 
نوساز 
کف سرامیک 
دارای سرویس بهداشتی و ۳۰ متر بالکن 
ارتفاع سقف ۷متر
پیاده رو قابل استفاده با فضای بیش از ۵۰ متر",واحد تجاری 120 متری بر خیابان اصلی,,,,,مقطوع,6600000000,,,,,,,,,,120,,FALSE,,یک,,,,,,,۱۴۰۳,,,,,,,,,,,,,,,,,,,,,,,34.36804199,47.18155289,
residential-sell,apartment-sell,arak,,10/1/2024 0:00,,"⚛ از خاک تا ساخت با شما هستیم ⚛

✴ واحدی زیبا در قلب مصطفی خمینی
✴ محله ای زیبا پر از فضای سبز و شاد
✴ جایی که هر خانواده اراکی آرزوشه اونجا زندگی کنه.
✴ پارکینگ باکس سندی
✴ آسانسور آلمانی برند عالی
✴ نمارومی محکم
✴ قابلیت رهن دادن ۶۰۰ میلیون که میتونی برای خرید واحد روش حساب کنی.
✴ قابلیت گرفتن وام با اوراق ۶۰۰ میلیون .
✴ با رهن و وام با مبلغ ۴میلیاردو ۱۰۰میلیون میتونین خانه دار شوید.

جهت بازدید با شماره آگهی تماس بگیرین . 
املاک دیوار با دوشعبه فعال . شعبه مصطفی خمینی جنب میدان سقاخانه املاک دیوار.

کدملک =20783",فروش آپارتمان/۱۱۴متر/مصطفی خمینی/سمت پارک,,,,,مقطوع,5700000000,,,,,,,,,,114,single_page,,3,دو,4,1,TRUE,TRUE,TRUE,TRUE,۱۳۹۸,TRUE,,package,,,shoofaj,air_conditioner,squat_seat,,,,,,,ceramic,,,,,,,,,,
